state_dcid,state_name,city_dcid,city_name
wikidataId/Q1061,Gujarat,wikidataId/Q1023682,Wadhwan
wikidataId/Q1061,Gujarat,wikidataId/Q1070,Ahmedabad
wikidataId/Q1061,Gujarat,wikidataId/Q1154,Jamnagar
wikidataId/Q1061,Gujarat,wikidataId/Q1156554,Dabhoi
wikidataId/Q1061,Gujarat,wikidataId/Q117057589,Thangadh
wikidataId/Q1061,Gujarat,wikidataId/Q11854,Rajkot
wikidataId/Q1061,Gujarat,wikidataId/Q11864,Junagadh
wikidataId/Q1061,Gujarat,wikidataId/Q11909,Vadodara
wikidataId/Q1061,Gujarat,wikidataId/Q11910,Gandhinagar
wikidataId/Q1061,Gujarat,wikidataId/Q1259573,Dhoraji
wikidataId/Q1061,Gujarat,wikidataId/Q1259584,Dhandhuka
wikidataId/Q1061,Gujarat,wikidataId/Q1262380,Dahod
wikidataId/Q1061,Gujarat,wikidataId/Q1263568,Dholka
wikidataId/Q1061,Gujarat,wikidataId/Q1263667,Devgadh Bariya
wikidataId/Q1061,Gujarat,wikidataId/Q1265559,Dhrangadhra
wikidataId/Q1061,Gujarat,wikidataId/Q1266017,Dhanera
wikidataId/Q1061,Gujarat,wikidataId/Q1330938,Manavadar
wikidataId/Q1061,Gujarat,wikidataId/Q1525333,Gadhada
wikidataId/Q1061,Gujarat,wikidataId/Q15261957,New Bhuj
wikidataId/Q1061,Gujarat,wikidataId/Q1534153,Vallabhipur
wikidataId/Q1061,Gujarat,wikidataId/Q1536978,Gondal
wikidataId/Q1061,Gujarat,wikidataId/Q1622928,Una
wikidataId/Q1061,Gujarat,wikidataId/Q1707007,Halvad
wikidataId/Q1061,Gujarat,wikidataId/Q1707463,Ghogha
wikidataId/Q1061,Gujarat,wikidataId/Q1707605,Halol
wikidataId/Q1061,Gujarat,wikidataId/Q1708114,Godhra
wikidataId/Q1061,Gujarat,wikidataId/Q1708423,Harij
wikidataId/Q1061,Gujarat,wikidataId/Q1714838,Jasdan
wikidataId/Q1061,Gujarat,wikidataId/Q1740527,Khambhat
wikidataId/Q1061,Gujarat,wikidataId/Q1755548,Idar
wikidataId/Q1061,Gujarat,wikidataId/Q1798750,Anand
wikidataId/Q1061,Gujarat,wikidataId/Q1816866,Rajpipla
wikidataId/Q1061,Gujarat,wikidataId/Q1922248,Navsari
wikidataId/Q1061,Gujarat,wikidataId/Q1922283,Mehsana
wikidataId/Q1061,Gujarat,wikidataId/Q1924998,Mahuva
wikidataId/Q1061,Gujarat,wikidataId/Q1925363,Pardi
wikidataId/Q1061,Gujarat,wikidataId/Q1945434,Anjar
wikidataId/Q1061,Gujarat,wikidataId/Q1945471,Chikhli
wikidataId/Q1061,Gujarat,wikidataId/Q1964214,Ahwa
wikidataId/Q1061,Gujarat,wikidataId/Q1964842,Vyara
wikidataId/Q1061,Gujarat,wikidataId/Q2006496,Wankaner
wikidataId/Q1061,Gujarat,wikidataId/Q2007967,Jafarabad
wikidataId/Q1061,Gujarat,wikidataId/Q2008063,Jam Jodhpur
wikidataId/Q1061,Gujarat,wikidataId/Q2013180,Jalalpore
wikidataId/Q1061,Gujarat,wikidataId/Q2013301,Jambusar
wikidataId/Q1061,Gujarat,wikidataId/Q2068178,Radhanpur
wikidataId/Q1061,Gujarat,wikidataId/Q20767736,Atul
wikidataId/Q1061,Gujarat,wikidataId/Q20850173,Diyodar
wikidataId/Q1061,Gujarat,wikidataId/Q2087713,Morbi
wikidataId/Q1061,Gujarat,wikidataId/Q2120093,Khambhalia
wikidataId/Q1061,Gujarat,wikidataId/Q219039,Nadiad
wikidataId/Q1061,Gujarat,wikidataId/Q2228906,Sanand
wikidataId/Q1061,Gujarat,wikidataId/Q2231030,Thangadh
wikidataId/Q1061,Gujarat,wikidataId/Q2233469,Mahemdavad
wikidataId/Q1061,Gujarat,wikidataId/Q2234238,Malpur
wikidataId/Q1061,Gujarat,wikidataId/Q2234250,Mundra
wikidataId/Q1061,Gujarat,wikidataId/Q2234286,Vijapur
wikidataId/Q1061,Gujarat,wikidataId/Q2236264,Kheralu
wikidataId/Q1061,Gujarat,wikidataId/Q2238993,Kutiyana
wikidataId/Q1061,Gujarat,wikidataId/Q2239007,Kodinar
wikidataId/Q1061,Gujarat,wikidataId/Q2240915,Lunavada
wikidataId/Q1061,Gujarat,wikidataId/Q2240989,Lathi
wikidataId/Q1061,Gujarat,wikidataId/Q2247454,Padra
wikidataId/Q1061,Gujarat,wikidataId/Q2251785,Kalavad
wikidataId/Q1061,Gujarat,wikidataId/Q2295886,Karjan
wikidataId/Q1061,Gujarat,wikidataId/Q2320097,Modasa
wikidataId/Q1061,Gujarat,wikidataId/Q2341421,Kapadvanj
wikidataId/Q1061,Gujarat,wikidataId/Q24054760,Barwala
wikidataId/Q1061,Gujarat,wikidataId/Q242992,Bhavnagar
wikidataId/Q1061,Gujarat,wikidataId/Q2451172,Viramgam
wikidataId/Q1061,Gujarat,wikidataId/Q2452712,Visnagar
wikidataId/Q1061,Gujarat,wikidataId/Q2465676,Dharampur
wikidataId/Q1061,Gujarat,wikidataId/Q25247367,Vasad
wikidataId/Q1061,Gujarat,wikidataId/Q25346043,Juna Vaghaniya
wikidataId/Q1061,Gujarat,wikidataId/Q2557742,Tharad
wikidataId/Q1061,Gujarat,wikidataId/Q2558704,Kalol
wikidataId/Q1061,Gujarat,wikidataId/Q25622187,Bayad
wikidataId/Q1061,Gujarat,wikidataId/Q2570216,Talod
wikidataId/Q1061,Gujarat,wikidataId/Q2570689,Mandvi
wikidataId/Q1061,Gujarat,wikidataId/Q2570700,Ranavav
wikidataId/Q1061,Gujarat,wikidataId/Q2570726,Vadnagar
wikidataId/Q1061,Gujarat,wikidataId/Q2572203,Siddhpur
wikidataId/Q1061,Gujarat,wikidataId/Q2572958,Sihor
wikidataId/Q1061,Gujarat,wikidataId/Q2575916,Paddhari
wikidataId/Q1061,Gujarat,wikidataId/Q2577440,Mangrol
wikidataId/Q1061,Gujarat,wikidataId/Q2606805,Mahudha
wikidataId/Q1061,Gujarat,wikidataId/Q2608060,Surendranagar
wikidataId/Q1061,Gujarat,wikidataId/Q2673443,Meghraj
wikidataId/Q1061,Gujarat,wikidataId/Q26783813,Mandal
wikidataId/Q1061,Gujarat,wikidataId/Q26788214,Pavi Jetpur
wikidataId/Q1061,Gujarat,wikidataId/Q26866040,Dediapada
wikidataId/Q1061,Gujarat,wikidataId/Q26928895,Nizar
wikidataId/Q1061,Gujarat,wikidataId/Q2722530,Amalsad
wikidataId/Q1061,Gujarat,wikidataId/Q2722560,Amirgadh
wikidataId/Q1061,Gujarat,wikidataId/Q2723942,Chotila
wikidataId/Q1061,Gujarat,wikidataId/Q2724262,Amod
wikidataId/Q1061,Gujarat,wikidataId/Q2724380,Umreth
wikidataId/Q1061,Gujarat,wikidataId/Q2724388,Prantij
wikidataId/Q1061,Gujarat,wikidataId/Q2724400,Rapar
wikidataId/Q1061,Gujarat,wikidataId/Q2724740,Kalol
wikidataId/Q1061,Gujarat,wikidataId/Q2724780,Vansda
wikidataId/Q1061,Gujarat,wikidataId/Q2724952,Waghodia
wikidataId/Q1061,Gujarat,wikidataId/Q2725098,Uchchhal
wikidataId/Q1061,Gujarat,wikidataId/Q2725556,Umarpada
wikidataId/Q1061,Gujarat,wikidataId/Q2726258,Olpad
wikidataId/Q1061,Gujarat,wikidataId/Q2726525,Kathlal
wikidataId/Q1061,Gujarat,wikidataId/Q2726621,Kadi
wikidataId/Q1061,Gujarat,wikidataId/Q2727368,Kalyanpur
wikidataId/Q1061,Gujarat,wikidataId/Q2728324,Kunkavav
wikidataId/Q1061,Gujarat,wikidataId/Q2730267,Khambha
wikidataId/Q1061,Gujarat,wikidataId/Q2731401,Garbada
wikidataId/Q1061,Gujarat,wikidataId/Q2733065,Ghoghamba
wikidataId/Q1061,Gujarat,wikidataId/Q2734216,Savarkundla
wikidataId/Q1061,Gujarat,wikidataId/Q2734240,Songadh
wikidataId/Q1061,Gujarat,wikidataId/Q2734950,Upleta
wikidataId/Q1061,Gujarat,wikidataId/Q2734999,Rajula
wikidataId/Q1061,Gujarat,wikidataId/Q27484993,Sagbara
wikidataId/Q1061,Gujarat,wikidataId/Q2756818,Chuda
wikidataId/Q1061,Gujarat,wikidataId/Q2757721,Jambughoda
wikidataId/Q1061,Gujarat,wikidataId/Q2757839,Jam Kandorna
wikidataId/Q1061,Gujarat,wikidataId/Q2758600,Jodia
wikidataId/Q1061,Gujarat,wikidataId/Q2759268,Thasra
wikidataId/Q1061,Gujarat,wikidataId/Q2759559,Don
wikidataId/Q1061,Gujarat,wikidataId/Q2759998,Tarapur
wikidataId/Q1061,Gujarat,wikidataId/Q2760007,Talala
wikidataId/Q1061,Gujarat,wikidataId/Q2760078,Tilakwada
wikidataId/Q1061,Gujarat,wikidataId/Q2760242,Thara
wikidataId/Q1061,Gujarat,wikidataId/Q2760556,Dasada
wikidataId/Q1061,Gujarat,wikidataId/Q2760622,Dantiwada
wikidataId/Q1061,Gujarat,wikidataId/Q2761011,Detroj
wikidataId/Q1061,Gujarat,wikidataId/Q2761639,Dhanpur
wikidataId/Q1061,Gujarat,wikidataId/Q2761749,Dhari
wikidataId/Q1061,Gujarat,wikidataId/Q2761956,Dholera
wikidataId/Q1061,Gujarat,wikidataId/Q2762064,Nakhatrana
wikidataId/Q1061,Gujarat,wikidataId/Q2762480,Nasvadi
wikidataId/Q1061,Gujarat,wikidataId/Q2763782,Palsana
wikidataId/Q1061,Gujarat,wikidataId/Q2764344,Pavagadh
wikidataId/Q1061,Gujarat,wikidataId/Q2765057,Fatepura
wikidataId/Q1061,Gujarat,wikidataId/Q2765597,Balel Pipariya
wikidataId/Q1061,Gujarat,wikidataId/Q2767083,Bhabhar
wikidataId/Q1061,Gujarat,wikidataId/Q2767290,Bhiloda
wikidataId/Q1061,Gujarat,wikidataId/Q2767521,Bhensan
wikidataId/Q1061,Gujarat,wikidataId/Q2768146,"Mahuva, Surat"
wikidataId/Q1061,Gujarat,wikidataId/Q2768215,Mangrol (Surat)
wikidataId/Q1061,Gujarat,wikidataId/Q2768275,Mandvi
wikidataId/Q1061,Gujarat,wikidataId/Q2768427,Matar
wikidataId/Q1061,Gujarat,wikidataId/Q27684996,Daskroi
wikidataId/Q1061,Gujarat,wikidataId/Q2768661,Maliya Miyana
wikidataId/Q1061,Gujarat,wikidataId/Q2768664,Malia Hatina
wikidataId/Q1061,Gujarat,wikidataId/Q2768906,Muli
wikidataId/Q1061,Gujarat,wikidataId/Q2768932,Mendarda
wikidataId/Q1061,Gujarat,wikidataId/Q2769626,Morva (Hadaf)
wikidataId/Q1061,Gujarat,wikidataId/Q2770373,Ranpur
wikidataId/Q1061,Gujarat,wikidataId/Q2771149,Lakhtar
wikidataId/Q1061,Gujarat,wikidataId/Q2771159,Lakhpat
wikidataId/Q1061,Gujarat,wikidataId/Q2771361,Lalpur
wikidataId/Q1061,Gujarat,wikidataId/Q2771499,Limkheda
wikidataId/Q1061,Gujarat,wikidataId/Q2771550,Lilia
wikidataId/Q1061,Gujarat,wikidataId/Q2771700,Lodhika
wikidataId/Q1061,Gujarat,wikidataId/Q2771789,Wadhai
wikidataId/Q1061,Gujarat,wikidataId/Q2771862,Vadgam
wikidataId/Q1061,Gujarat,wikidataId/Q2771964,Vadali
wikidataId/Q1061,Gujarat,wikidataId/Q2772601,Vagra
wikidataId/Q1061,Gujarat,wikidataId/Q2772894,Valiya
wikidataId/Q1061,Gujarat,wikidataId/Q2772908,Valod
wikidataId/Q1061,Gujarat,wikidataId/Q2772926,Vav
wikidataId/Q1061,Gujarat,wikidataId/Q2773142,Vijaynagar
wikidataId/Q1061,Gujarat,wikidataId/Q2773235,Virpur
wikidataId/Q1061,Gujarat,wikidataId/Q2773921,Sinor
wikidataId/Q1061,Gujarat,wikidataId/Q2774237,Sankheda
wikidataId/Q1061,Gujarat,wikidataId/Q2774449,Satlasana
wikidataId/Q1061,Gujarat,wikidataId/Q2774598,Sami
wikidataId/Q1061,Gujarat,wikidataId/Q2774970,Santalpur
wikidataId/Q1061,Gujarat,wikidataId/Q2775259,Sayla
wikidataId/Q1061,Gujarat,wikidataId/Q2775790,Sutrapada
wikidataId/Q1061,Gujarat,wikidataId/Q2777153,Hansot
wikidataId/Q1061,Gujarat,wikidataId/Q28171935,Kotra Pitha
wikidataId/Q1061,Gujarat,wikidataId/Q2900619,Bhadarwa
wikidataId/Q1061,Gujarat,wikidataId/Q3015704,Danta
wikidataId/Q1061,Gujarat,wikidataId/Q302654,Valsad
wikidataId/Q1061,Gujarat,wikidataId/Q30621429,Khanpur
wikidataId/Q1061,Gujarat,wikidataId/Q3192309,Kamadhia
wikidataId/Q1061,Gujarat,wikidataId/Q3808247,Jhalod
wikidataId/Q1061,Gujarat,wikidataId/Q3827464,Lathi
wikidataId/Q1061,Gujarat,wikidataId/Q4046905,Paldi
wikidataId/Q1061,Gujarat,wikidataId/Q41543,Gandhidham
wikidataId/Q1061,Gujarat,wikidataId/Q4629,Surat
wikidataId/Q1061,Gujarat,wikidataId/Q4682951,Adipur
wikidataId/Q1061,Gujarat,wikidataId/Q4878547,Becharaji
wikidataId/Q1061,Gujarat,wikidataId/Q518791,Veraval
wikidataId/Q1061,Gujarat,wikidataId/Q5269024,Dhansura
wikidataId/Q1061,Gujarat,wikidataId/Q536870,Gariadhar
wikidataId/Q1061,Gujarat,wikidataId/Q5437418,Fatehgunj
wikidataId/Q1061,Gujarat,wikidataId/Q579702,Patan
wikidataId/Q1061,Gujarat,wikidataId/Q581480,Kandla port
wikidataId/Q1061,Gujarat,wikidataId/Q582485,Dahegam
wikidataId/Q1061,Gujarat,wikidataId/Q587137,Alang
wikidataId/Q1061,Gujarat,wikidataId/Q588924,Ankleshwar
wikidataId/Q1061,Gujarat,wikidataId/Q589067,Anklav
wikidataId/Q1061,Gujarat,wikidataId/Q589163,Amreli
wikidataId/Q1061,Gujarat,wikidataId/Q589286,Bagasara
wikidataId/Q1061,Gujarat,wikidataId/Q599414,Keshod
wikidataId/Q1061,Gujarat,wikidataId/Q607388,Chaklasi
wikidataId/Q1061,Gujarat,wikidataId/Q612721,Chhota Udepur
wikidataId/Q1061,Gujarat,wikidataId/Q6359640,Kamrej
wikidataId/Q1061,Gujarat,wikidataId/Q6419912,Porbandar
wikidataId/Q1061,Gujarat,wikidataId/Q667155,Kadana
wikidataId/Q1061,Gujarat,wikidataId/Q6960925,Naliya
wikidataId/Q1061,Gujarat,wikidataId/Q6966092,Naroda
wikidataId/Q1061,Gujarat,wikidataId/Q712003,Bardoli
wikidataId/Q1061,Gujarat,wikidataId/Q712407,Bavla
wikidataId/Q1061,Gujarat,wikidataId/Q7131859,Pantiya
wikidataId/Q1061,Gujarat,wikidataId/Q715228,Limbdi
wikidataId/Q1061,Gujarat,wikidataId/Q720211,Mansa
wikidataId/Q1061,Gujarat,wikidataId/Q720816,Santrampur
wikidataId/Q1061,Gujarat,wikidataId/Q720917,Bhanvad
wikidataId/Q1061,Gujarat,wikidataId/Q721294,Vanthali
wikidataId/Q1061,Gujarat,wikidataId/Q721365,Gandevi
wikidataId/Q1061,Gujarat,wikidataId/Q7237228,Prabhas Patan
wikidataId/Q1061,Gujarat,wikidataId/Q7387597,S. K. Varma Nagar
wikidataId/Q1061,Gujarat,wikidataId/Q7408505,Samakhiali
wikidataId/Q1061,Gujarat,wikidataId/Q7428379,Savli
wikidataId/Q1061,Gujarat,wikidataId/Q759550,Bhachau
wikidataId/Q1061,Gujarat,wikidataId/Q760153,Bharuch
wikidataId/Q1061,Gujarat,wikidataId/Q766933,Talaja
wikidataId/Q1061,Gujarat,wikidataId/Q767916,Unjha
wikidataId/Q1061,Gujarat,wikidataId/Q7683522,Tankara
wikidataId/Q1061,Gujarat,wikidataId/Q775759,Kheda
wikidataId/Q1061,Gujarat,wikidataId/Q798382,Bhuj
wikidataId/Q1061,Gujarat,wikidataId/Q8023088,Wilson Hills
wikidataId/Q1061,Gujarat,wikidataId/Q817247,Dwarka
wikidataId/Q1061,Gujarat,wikidataId/Q8239185,Babra
wikidataId/Q1061,Gujarat,wikidataId/Q858162,Botad
wikidataId/Q1061,Gujarat,wikidataId/Q859113,Chanasma
wikidataId/Q1061,Gujarat,wikidataId/Q862141,Bilimora
wikidataId/Q1061,Gujarat,wikidataId/Q927778,Dhrol
wikidataId/Q1061,Gujarat,wikidataId/Q9443,Lothal
wikidataId/Q1061,Gujarat,wikidataId/Q9461,Khedbrahma
wikidataId/Q1061,Gujarat,wikidataId/Q949907,Palanpur
wikidataId/Q1061,Gujarat,wikidataId/Q968713,Jetpur
wikidataId/Q1061,Gujarat,wikidataId/Q976318,Chhaya
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q1003496,Eluru
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q1017723,Madanapalle
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q1105252,Chilakaluripet
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q11102384,Rajampet
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q11103996,Markapur
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q11198998,Chittoor
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q1193800,Chirala
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q13001772,Palasa Mandal
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q13008117,Rayadurg
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q1436816,Tirupati
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q1639492,Rajahmundry
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q16901462,Thagarapuvalasa
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q1708134,Gudur
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q1772751,Nandyal
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q1772763,Srikalahasti
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q18386200,Sullurpeta mandal
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q1920249,Ongole
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q1929712,Tenali
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q1945121,Palakollu
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q1945739,Puttur
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q1948238,Dharmavaram
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q19672776,Chillakallu
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q19881964,Amaravati
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q200016,Visakhapatnam
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q200017,Vijayawada
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2010440,Jammalamadugu
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2138686,Kavali
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2228545,Pulivendula
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2235626,Tadepalligudem
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2235664,Kovvur
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2241562,Macharla
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2249065,Mandapeta
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2336339,Tadipatri
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2349939,Mangalagiri
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2349951,Rayachoti
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2349966,Proddatur
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2350125,Gudivada
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2351757,Kadiri
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2483789,Narasaraopet
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2483828,Parvathipuram
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2483836,Repalle
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2483868,Bheemunipatnam
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q24908046,Jaggayyapeta
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q25562337,Peddapuram
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2563400,Samarlakota
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2563407,Nidadavole
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2563472,Pedana
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2563482,Saluru
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2563530,Pithapuram
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2564821,Kandukur
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2566460,Punganur
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2566481,Tanuku
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2566502,Vinukonda
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2576041,Tuni
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2734064,Yemmiganuru
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q2734090,Nuzvid
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q30651,Kadapa
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q3120966,Guntur
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q31500354,Giddaluru
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q3412838,Badvel
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q3416910,Cheepurupalli
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q3425864,Tadepalle
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q3428232,Ponduru
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q3428272,Chimakurthi
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q3428861,Pamidi
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q3429912,Narasannapeta
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q3429934,Palamaner
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q3445011,Sattenapalli
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q3619248,Vizianagaram
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q3635276,Kurnool
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q3635462,Parigi
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q379516,Narasapuram
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q3869911,Nagari
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q48723786,Kasibugga
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q490906,Adoni
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q5305676,Draksharama
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q582993,Amudalavalasa
wikidataId/Q1159,Andhra Pradesh,wikidataId/Q586397,Guntakal
